uid,paper,model,dataset,condition,seed,n_total,score,wall_s,peak_vram_gb
a1__gemma3_12b__vizwiz_val__blind__seed0,a1,gemma3_12b,vizwiz_val,blind,0,4319,0.4748012657250898,1915.1,24.44
a1__gemma3_12b__vizwiz_val__blur_s1__seed0,a1,gemma3_12b,vizwiz_val,blur_s1,0,1500,0.31311111111111106,958.8,24.58
a1__gemma3_12b__vizwiz_val__blur_s3__seed0,a1,gemma3_12b,vizwiz_val,blur_s3,0,1500,0.39777777777777795,919.7,24.58
a1__gemma3_12b__vizwiz_val__blur_s5__seed0,a1,gemma3_12b,vizwiz_val,blur_s5,0,1500,0.5060000000000003,871.8,24.58
a1__gemma3_12b__vizwiz_val__clean__seed0,a1,gemma3_12b,vizwiz_val,clean,0,4319,0.29906614185382435,2304.8,24.58
a1__gemma3_12b__vizwiz_val__crop_s2__seed0,a1,gemma3_12b,vizwiz_val,crop_s2,0,1500,0.3297777777777777,884.9,24.58
a1__gemma3_12b__vizwiz_val__crop_s4__seed0,a1,gemma3_12b,vizwiz_val,crop_s4,0,1500,0.35444444444444456,855.3,24.58
a1__gemma3_12b__vizwiz_val__overexp_s2__seed0,a1,gemma3_12b,vizwiz_val,overexp_s2,0,1500,0.33688888888888885,843.3,24.58
a1__gemma3_12b__vizwiz_val__underexp_s2__seed0,a1,gemma3_12b,vizwiz_val,underexp_s2,0,1500,0.32555555555555554,869.1,24.58
a1__gemma3_12b__vqav2_val__clean__seed0,a1,gemma3_12b,vqav2_val,clean,0,4000,0.21100000000000016,1839.2,24.56
a1__idefics3_8b__vizwiz_val__blind__seed0,a1,idefics3_8b,vizwiz_val,blind,0,4319,0.36636567106583223,622.7,16.96
a1__idefics3_8b__vizwiz_val__blur_s1__seed0,a1,idefics3_8b,vizwiz_val,blur_s1,0,1500,0.43155555555555564,777.7,17.74
a1__idefics3_8b__vizwiz_val__blur_s3__seed0,a1,idefics3_8b,vizwiz_val,blur_s3,0,1500,0.5140000000000005,778.9,17.74
a1__idefics3_8b__vizwiz_val__blur_s5__seed0,a1,idefics3_8b,vizwiz_val,blur_s5,0,1500,0.5335555555555561,775.1,17.74
a1__idefics3_8b__vizwiz_val__clean__seed0,a1,idefics3_8b,vizwiz_val,clean,0,4319,0.4379100100331854,1881.0,17.75
a1__idefics3_8b__vizwiz_val__crop_s2__seed0,a1,idefics3_8b,vizwiz_val,crop_s2,0,1500,0.42999999999999994,697.9,17.74
a1__idefics3_8b__vizwiz_val__crop_s4__seed0,a1,idefics3_8b,vizwiz_val,crop_s4,0,1500,0.4199999999999999,677.4,17.74
a1__idefics3_8b__vizwiz_val__overexp_s2__seed0,a1,idefics3_8b,vizwiz_val,overexp_s2,0,1500,0.42333333333333334,684.8,17.74
a1__idefics3_8b__vizwiz_val__underexp_s2__seed0,a1,idefics3_8b,vizwiz_val,underexp_s2,0,1500,0.4424444444444444,688.7,17.74
a1__idefics3_8b__vqav2_val__clean__seed0,a1,idefics3_8b,vqav2_val,clean,0,4000,0.7879999999999999,1612.3,17.74
a1__internvl35_8b__vizwiz_val__blind__seed0,a1,internvl35_8b,vizwiz_val,blind,0,4319,0.5191016438990509,818.1,17.09
a1__internvl35_8b__vizwiz_val__blur_s1__seed0,a1,internvl35_8b,vizwiz_val,blur_s1,0,1500,0.5042222222222223,1157.2,17.98
a1__internvl35_8b__vizwiz_val__blur_s3__seed0,a1,internvl35_8b,vizwiz_val,blur_s3,0,1500,0.5786666666666671,1073.6,17.98
a1__internvl35_8b__vizwiz_val__blur_s5__seed0,a1,internvl35_8b,vizwiz_val,blur_s5,0,1500,0.5968888888888896,1035.7,17.98
a1__internvl35_8b__vizwiz_val__clean__seed0,a1,internvl35_8b,vizwiz_val,clean,0,4319,0.46993902909624086,2888.1,17.98
a1__internvl35_8b__vizwiz_val__crop_s2__seed0,a1,internvl35_8b,vizwiz_val,crop_s2,0,1500,0.4988888888888892,1090.6,17.98
a1__internvl35_8b__vizwiz_val__crop_s4__seed0,a1,internvl35_8b,vizwiz_val,crop_s4,0,1500,0.5055555555555558,1048.3,17.98
a1__internvl35_8b__vizwiz_val__overexp_s2__seed0,a1,internvl35_8b,vizwiz_val,overexp_s2,0,1500,0.5220000000000004,1044.6,17.98
a1__internvl35_8b__vizwiz_val__underexp_s2__seed0,a1,internvl35_8b,vizwiz_val,underexp_s2,0,1500,0.5133333333333333,1066.5,17.98
a1__internvl35_8b__vqav2_val__clean__seed0,a1,internvl35_8b,vqav2_val,clean,0,4000,0.7375000000000004,1588.9,17.97
a1__internvl3_8b__vizwiz_val__blind__seed0,a1,internvl3_8b,vizwiz_val,blind,0,4319,0.5211854595971289,528.8,15.92
a1__internvl3_8b__vizwiz_val__blur_s1__seed0,a1,internvl3_8b,vizwiz_val,blur_s1,0,1500,0.5824444444444448,960.7,16.62
a1__internvl3_8b__vizwiz_val__blur_s3__seed0,a1,internvl3_8b,vizwiz_val,blur_s3,0,1500,0.6660000000000007,897.6,16.62
a1__internvl3_8b__vizwiz_val__blur_s5__seed0,a1,internvl3_8b,vizwiz_val,blur_s5,0,1500,0.6944444444444453,877.1,16.62
a1__internvl3_8b__vizwiz_val__clean__seed0,a1,internvl3_8b,vizwiz_val,clean,0,4319,0.5788376939106281,2333.9,16.62
a1__internvl3_8b__vizwiz_val__crop_s2__seed0,a1,internvl3_8b,vizwiz_val,crop_s2,0,1500,0.5922222222222225,877.7,16.62
a1__internvl3_8b__vizwiz_val__crop_s4__seed0,a1,internvl3_8b,vizwiz_val,crop_s4,0,1500,0.6033333333333336,845.6,16.62
a1__internvl3_8b__vizwiz_val__overexp_s2__seed0,a1,internvl3_8b,vizwiz_val,overexp_s2,0,1500,0.6011111111111116,859.8,16.62
a1__internvl3_8b__vizwiz_val__underexp_s2__seed0,a1,internvl3_8b,vizwiz_val,underexp_s2,0,1500,0.5708888888888892,888.2,16.62
a1__internvl3_8b__vqav2_val__clean__seed0,a1,internvl3_8b,vqav2_val,clean,0,4000,0.7060833333333342,1360.6,16.62
a1__llava16_13b__vizwiz_val__blind__seed0,a1,llava16_13b,vizwiz_val,blind,0,4319,0.46438218723469843,733.5,26.83
a1__llava16_13b__vizwiz_val__blur_s1__seed0,a1,llava16_13b,vizwiz_val,blur_s1,0,1500,0.6411111111111117,968.7,29.06
a1__llava16_13b__vizwiz_val__blur_s3__seed0,a1,llava16_13b,vizwiz_val,blur_s3,0,1500,0.6606666666666674,956.5,29.06
a1__llava16_13b__vizwiz_val__blur_s5__seed0,a1,llava16_13b,vizwiz_val,blur_s5,0,1500,0.6584444444444453,943.7,29.06
a1__llava16_13b__vizwiz_val__clean__seed0,a1,llava16_13b,vizwiz_val,clean,0,4319,0.5868642432661889,2452.0,29.55
a1__llava16_13b__vizwiz_val__crop_s2__seed0,a1,llava16_13b,vizwiz_val,crop_s2,0,1500,0.6335555555555563,904.4,29.06
a1__llava16_13b__vizwiz_val__crop_s4__seed0,a1,llava16_13b,vizwiz_val,crop_s4,0,1500,0.6106666666666672,890.1,29.06
